defect_strength,i,j,distance,correlation,timestamp
0.5,0,0,0,0.2144770378,2026-07-16T16:49:18
0.5,0,1,1,-0.1746275187,2026-07-16T16:49:18
0.5,0,2,2,0.0416257316,2026-07-16T16:49:18
0.5,0,3,3,-0.0530347428,2026-07-16T16:49:18
0.5,0,4,4,0.0238921778,2026-07-16T16:49:18
0.5,0,5,5,-0.0300025005,2026-07-16T16:49:18
0.5,0,6,6,0.0163310271,2026-07-16T16:49:18
0.5,0,7,7,-0.0203603654,2026-07-16T16:49:18
0.5,0,8,8,0.0121963048,2026-07-16T16:49:18
0.5,0,9,9,-0.0151492453,2026-07-16T16:49:18
0.5,0,10,10,0.0096017083,2026-07-16T16:49:18
0.5,0,11,11,-0.0119294041,2026-07-16T16:49:18
0.5,0,12,12,0.0078305665,2026-07-16T16:49:18
0.5,0,13,13,-0.0097629698,2026-07-16T16:49:18
0.5,0,14,14,0.0065393023,2026-07-16T16:49:18
0.5,0,15,15,-0.0082068600,2026-07-16T16:49:18
0.5,0,16,16,0.0055474494,2026-07-16T16:49:18
0.5,0,17,17,-0.0070343691,2026-07-16T16:49:18
0.5,0,18,18,0.0047502920,2026-07-16T16:49:18
0.5,0,19,19,-0.0061128010,2026-07-16T16:49:18
0.5,0,20,20,0.0040798546,2026-07-16T16:49:18
0.5,0,21,21,-0.0053585483,2026-07-16T16:49:18
0.5,0,22,22,0.0034872113,2026-07-16T16:49:18
0.5,0,23,23,-0.0047141671,2026-07-16T16:49:18
0.5,0,24,24,0.0029293187,2026-07-16T16:49:18
0.5,0,25,25,-0.0041359745,2026-07-16T16:49:18
0.5,0,26,26,0.0023571160,2026-07-16T16:49:18
0.5,0,27,27,-0.0035860011,2026-07-16T16:49:18
0.5,0,28,28,0.0016752642,2026-07-16T16:49:18
0.5,0,29,29,-0.0030833011,2026-07-16T16:49:18
0.5,0,30,30,0.0006657501,2026-07-16T16:49:18
0.5,0,31,31,-0.0005421554,2026-07-16T16:49:18
0.5,0,32,32,0.0004280699,2026-07-16T16:49:18
0.5,0,33,33,-0.0004194653,2026-07-16T16:49:18
0.5,0,34,34,0.0003265927,2026-07-16T16:49:18
0.5,0,35,35,-0.0003416532,2026-07-16T16:49:18
0.5,0,36,36,0.0002636554,2026-07-16T16:49:18
0.5,0,37,37,-0.0002874565,2026-07-16T16:49:18
0.5,0,38,38,0.0002192365,2026-07-16T16:49:18
0.5,0,39,39,-0.0002467038,2026-07-16T16:49:18
0.5,0,40,40,0.0001844900,2026-07-16T16:49:18
0.5,0,41,41,-0.0002148274,2026-07-16T16:49:18
0.5,0,42,42,0.0001562609,2026-07-16T16:49:18
0.5,0,43,43,-0.0001877756,2026-07-16T16:49:18
0.5,0,44,44,0.0001336404,2026-07-16T16:49:18
0.5,0,45,45,-0.0001644387,2026-07-16T16:49:18
0.5,0,46,46,0.0001151140,2026-07-16T16:49:18
