L,defect_strength,E_Nminus1,E_N,charge_gap,chi_c,timestamp
40,0.5,-23.5571575109,-22.2960591533,1.2610983576,0.7929595610,2026-07-16T12:17:22
40,0.8,-23.7214242948,-22.4322031586,1.2892211361,0.7756621203,2026-07-16T12:19:18
40,1.0,-23.8975474571,-22.5835713587,1.3139760984,0.7610488511,2026-07-16T12:23:28
40,1.2,-24.1213618109,-22.7912527412,1.3301090697,0.7518180447,2026-07-16T12:27:24
40,1.5,-24.5222616735,-23.1875742399,1.3346874336,0.7492390913,2026-07-16T12:28:56
60,0.5,-35.0652403266,-33.7665466905,1.2986936361,0.7700045432,2026-07-16T12:34:27
60,0.8,-35.2174588847,-33.9034951788,1.3139637059,0.7610560288,2026-07-16T12:41:26
60,1.0,-35.3887354884,-34.0569743958,1.3317610926,0.7508854295,2026-07-16T12:45:48
60,1.2,-35.6126728999,-34.2686814062,1.3439914937,0.7440523282,2026-07-16T12:54:38
60,1.5,-36.0181224146,-34.6708588773,1.3472635373,0.7422452789,2026-07-16T13:00:37
